RBR XR-620  6.60 018573 (Windows: 6.13 - Minimum required: 6.13)
Host time     18/06/22 09:41:55
Logger time   18/06/22 09:42:03
Logging start 18/04/30 08:24:20
Logging end   18/06/15 15:00:00
Sample period          00:01:00
Number of channels =  3, number of samples =  66636, mode: Logging Complete
N03%9.4f
Calibration  1: -0.002382818000000
                154.906994200000010
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003426915600263
                -0.000257234520228
                0.000002313140325
                -0.000000071195509 Degrees_C
Calibration  3: 8.129605369038000
                930.138389642962010
                20.635332533391001
                1.799385691527000 deciBars
Correction to conductivity: 1.4000000e-005 -2.0000000e-004 1.4900000e+001 7.0000000e-007
Memory type: 6 AT45DB642D_LP
Averaging: NONE
Logger start:Now 

     Cond      Temp      Pres  Salinity  DensAnom 
  32.8189   11.8385   10.2172   28.2134   21.3535 
  32.8096   11.8337   10.2183   28.2081   21.3502 
  32.7993   11.8266   10.2144   28.2037   21.3481 
  32.7964   11.8235   10.2117   28.2032   21.3482 
  32.7794   11.8136   10.2145   28.1947   21.3433 
  32.7952   11.8084   10.2157   28.2136   21.3589 
  32.7858   11.8005   10.2229   28.2106   21.3580 
  32.7704   11.7933   10.2178   28.2015   21.3522 
  32.7731   11.7895   10.2195   28.2069   21.3570 
  32.7645   11.7832   10.2158   28.2034   21.3554 
  32.7555   11.7731   10.2205   28.2024   21.3565 
  32.7520   11.7676   10.2166   28.2034   21.3582 
  32.7407   11.7620   10.2168   28.1968   21.3540 
  32.7314   11.7554   10.2188   28.1930   21.3522 
  32.7291   11.7483   10.2177   28.1961   21.3559 
  32.7252   11.7412   10.2166   28.1979   21.3585 
  32.7191   11.7339   10.2177   28.1975   21.3595 
  32.7228   11.7292   10.2149   28.2045   21.3658 
  32.7144   11.7202   10.2133   28.2034   21.3664 
  32.6980   11.7109   10.2180   28.1948   21.3614 
  32.6983   11.7052   10.2185   28.1994   21.3660 
  32.6885   11.6963   10.2193   28.1968   21.3655 
  32.6844   11.6905   10.2185   28.1973   21.3669 
  32.6748   11.6826   10.2218   28.1941   21.3658 
  32.6628   11.6736   10.2207   28.1894   21.3638 
  32.6620   11.6676   10.2180   28.1934   21.3679 
  32.6581   11.6623   10.2198   28.1936   21.3690 
  32.6362   11.6523   10.2225   28.1803   21.3604 
  32.6358   11.6454   10.2190   28.1851   21.3653 
  32.6342   11.6393   10.2188   28.1882   21.3688 
  32.6277   11.6298   10.2176   28.1892   21.3712 
  32.6194   11.6230   10.2171   28.1864   21.3702 
  32.6132   11.6153   10.2169   28.1863   21.3715 
